roomType,confidence,Description,True_Label
Unknown,0.0,BEST AVAILABLE ROOM ONLY|CLASSIC QUEEN ENSUITE WIFI TV PARKING TERRACE - SEATING AREA - AIR CONDITIONING,Classic Room
Unknown,0.0,"AAA AUTO ASSOCIATION|AAA CAA RATE, MEMBERSHIP CARD REQUIRED, KING PENTHOUSE SUITE, 1 BEDROOM PENTHOUSE SUITE",Penthouse
Unknown,0.0,FLEXIBLE RATE|1 KING BED STUDIO SUITE WIFI AVAIL-SERENITY BED-MICROWAVE-FRIDGE,Studio Suite
Unknown,0.0,RACK|FAMILY ROOM ONE KING AND ONE FULL BED TWO TVS SEPARATED SLEEPING AREAS HI SPD INT CONT BRKF BEST AVAILABLE RATE,Family Room/Suite
Unknown,0.0,STANDARD RATE ARCADIA VILLA|1 KING:900 SQ FT:LIVING ROOM:QUEEN PULLOUT:,Villa
Unknown,0.0,CORPORATE RATE|LUX RM KING BED FREE UNLTD WIFI LUX BOUTIQUE NESPRESSO MACHINE CITY CENTRE GYM JACUZZI SAUNA ROOM ONLY UNLIMITED FREE WIFI GREAT LOCATION L,Luxury Room
Unknown,0.0,WORLD RAINBOW HOTELS BAR  RO|DOUBLE ROOM ENSUITE WIFI TV AIR CON SAFE - USB PORTS - HAIRDRYER,Double Bed
Unknown,0.0,FLEXIBLE RATE ROOM ONLY|CLASSIC SUITE/KING BED/47SQM/W BATHTUB/IRON/MINIBAR/TEA COFFEE FACILITY,Classic Suite
Unknown,0.0,"REGULAR RATE|FLEXIBLE RATE, 2 BEDROOM BI-LEVEL LOFT",Loft
Accessible Room,1.0,BREAKFAST   PARKING PACKAGE|RATE INCLUDES BREAKFAST FOR 2 ADULTS EACH 1 KING BED DELUXE SUITE NONSMOKING YOU CAN COUNT ON FREE WIRELESS INTERNET ACCESS TO GET WORK DONE THE SUITE HAS A,Deluxe Suite
Accessible Room,1.0,RECHARGE AND REBOOT GETAWAY|DELUXE ROOM - 1 KING BED - 400 SQF - 37 SQM RIVER VIEW-COMP ACCESS EQUINOX GYM-SMOKE FREE,Deluxe Room
Unknown,0.0,"STAY FOR BREAKFST PREM|STAY FOR BREAKFAST RATE, BREAKFAST FOR 2 ADULTS AND CHILDREN UNDER 12, DELUXE SUITE, 1 BEDROOM LARGER SUITE, 1 KING, CITY V",Deluxe Suite
Unknown,0.0,SAVE 15 PCT/BFST EXECUTIVE STU|EXECUTIVE CORNER KING SUITE: WORKING DESK: SEPARATE SITTING AREA W LOVESEAT:,Executive/Club Room
Unknown,0.0,"STAY LONGER SAVE SPECIAL|SAVINGS WHEN YOU STAY LONGER AND RESERVE IN 1 KING OR 2 QUEEN WHEN YOU ARRIVE, WE WILL DO OUR BEST TO MEET YOUR BED TYPE PREFERENCE, SUBJECT TO AVAILABILITY AND",Run of the House
Unknown,0.0,GOVERNMENT BREAKFAST INCLUDES|FULL BREAKFAST FOR ONE STANDARD NONSMOKING ROOM WHEN YOU ARRIVE AT THE HOTEL WE WILL DO OUR BEST TO MEET YOUR UPGRADED ROOM AND BED TYPE,Run of the House
Unknown,0.0,"SENIOR DISCOUNT|1 KING BED, CLASSIC, NON-SMOKING",Classic Room
Unknown,0.0,BEST AVAILABLE RATE|AIRSIDE SKY SUITE-50SQM-KING BED 2X2M-FREE WIFI -AC-MINIBAR-SHOWER-SEPARATE BATH-VIEW-MAXOCC2,Suite
Unknown,0.0,"ADVANCE SAVER|POOLSIDE BUNGALOW NEWLY REDESIGNED. EXCLUSIVE TRI-LEVEL BUNGALOWS TUCKED AWAY AND ADJACENT TO THE MERMAID POOL,",Bungalow
Unknown,0.0,VALET PARKING   LATE CHECK|OUT PACKAGE INCLUDES VALET PARKING FOR ONE DELUXE ROOM AN UPGRADE FROM OUR STANDARD ROOMS. BED TYPE CANNOT BE GUARANTEED AS IT WILL BE ALLOCATED ON ARRIVAL,Run of the House
Unknown,0.0,"REGULAR RATE|FLEXIBLE RATE, SUPERIOR, GUEST ROOM, 2 QUEEN",Superior Room
Accessible Room,1.0,BEST AVAILABLE RATE|ONE BEDROOM APARTMENT - 1X KING BED 28SQM - INTL ADAPTER - LCD TV - WORKING DESK,Apartment
Unknown,0.0,"BOOK NOW, PAY LATER|WATERVIEW PREMIER 1 KING BED NEWLY RENOVATED. ONE KING BED. 475 SQ. FT. 66 SQ FT. PRIVATE BALCONY. VIEWS OF BAY AND",Premier Room
Unknown,0.0,CORPORATE RATE SAVE 5 PERCENT|DELUXE ROOM 31 SQUARE METER,Deluxe Room
Unknown,0.0,GDS SEMI FLEXIBLE BREAKFAST RA|SINGLE ROOM-1SINGLE-ENSUITE-AC-WIFI-16M2-SAFE- MINIBAR-COFFEE-TEA FACILITIES-TV-VIEWS-MAXOCC1,Single Room
Unknown,0.0,PENCLUB SUITE OFFER|EXECUTIVE SUITE-1KING-GARDEN VIEW-SITTING AREA TV OVER SPA TUB-COMP VOIP CALLS WIFI-90SQM,Executive/Club Suite
Unknown,0.0,BED AND BREAKFAST|CORNER KING ROOM-1KING-UNOBSTRUCTED CITY VIEW QUAD BAY WINDOWS-SITTING AREA-350-405SQFT,King Bedroom
Accessible Room,1.0,CWT PROGRAM -HONORS DISCOUNT|CABANA OCEANFRNT 2 QUEENS MOBILITY ACCESS TUB 35 USD RESORT CHARGE -MOB ACC TUB -STEAMER,Cabana
Unknown,0.0,"REGULAR RATE|FLEXIBLE RATE, COMFORT ROOM, LARGER GUEST ROOM, 1 KING, LLOYD BUILDING",Comfort Room
Unknown,0.0,"REGULAR RATE|FLEXIBLE RATE, 1 BEDROOM JUNIOR SUITE, 1 KING, SOFA BED",Junior Suite
Unknown,0.0,AMEX FHR -  ROOM RATES|OCEAN VIEW CABANA TERRACE ROOM KING- 1ST FLOOR FURNISHED BALCONY OCEAN VIEW- MARBLE,Cabana
Unknown,0.0,TEXAS RESIDENT RATE|LUXURY SUITE - KING BED - PULL OUT SOFA 1800 SQ FT,Luxury Suite
Unknown,0.0,TANGER OUTLET PKG|1 KING BDRM/1 QUEEN BDRM PRESIDENTIAL SUITE COMP WIFI - SERENITY BEDS - FRIDGE - 55 IN TV,Presidential Suite
Unknown,0.0,"EXPERIENCE BUS. PACK.|FREE PARKING AND 2PM LATE CHECK OUT, INCLUDES SELF PARKING, SEE RATE DETAILS, STUDIO, 1 KING, SOFA BED",Studio Room
Unknown,0.0,PREFERRED BED AND BREAKFAST|SUPERIOR ROOM-CITY OR CRTYRD VW-1 Q OR 2 TW- 20SQM-WIFI-DESK-TV-MAX 2 PERSON OCCUPANCY,Superior Room
Unknown,0.0,BEST AVAILABLE RATE - MAP RATE|LUXURY ROOM-TWIN BED-COURTYARD VIEW-260 SQFT WIFI-MARBLEFLOOR-CHAISELOUNGE-RAINSHWR-DESK,Luxury Room
Unknown,0.0,FLEXIBLE RATE|KING PREMIUM FULLY RENO/1-K BD/ 40-IN TV/ 4 POINT BATH,Premier Room
Unknown,0.0,RETREAT TO CHARLESTON|LUXURY SUITE-1KING-SKYLINE VIEW-SOFA BED CLUB BENEFITS-KITCHENETTE-DINING AREA-1200SQFT,Luxury Suite
Accessible Room,1.0,CWT PROGRAM -PREFERRED|1 KING MOBILITY/HEARING ACCESS TUB STUDIO NS VIS FIREALRM/DOOR/PHN ALRT/SOFABED,Studio Suite
Unknown,0.0,CCRA PROMOTIONAL RATE -SEMI FL|POOL SIDE CABANA ROOM WITH ONE KING BED 320 SQ FT-GROUND FLOOR-PATIO SEATING POOLSIDE,Cabana
Unknown,0.0,BED AND BREAKFAST|VILLA ROOM KING TPC GLF CRS COTTONWOOD VALLEY OR GARDEN VIEW WALKOUT OR PRIVATE LAWN NEAR,Villa
Accessible Room,1.0,"REGULAR RATE|FLEXIBLE RATE, EXECUTIVE, M CLUB LOUNGE ACCESS, GUEST ROOM",Executive/Club Room
Unknown,0.0,ADVANCE SAVER|1 KING BED STANDARD NS CONTEMPORARY AND SPACIOUS KING BED GUEST ROOM IS DESIGNED WITH TODAYS BUSINESS AND LEISURE,Standard Room
Unknown,0.0,"EXPERIENCES INCLUSIVE|CABANA RENTAL, INCLUDES SNACKS, POOL CABANA, SEE RATE DETAILS, GUEST ROOM, 1 KING",Cabana
Unknown,0.0,BEST AVAILABLE RATE|1 KING 1BDRM SUITE W/ SITTING AREA-WETBAR NS HDTV/FREE WI-FI/SOFABED/MINI-FRIDGE/MICROWAVE,Suite
Unknown,0.0,BEST FLEXIBLE RATE- ROOM ONLY|TWIN BED - 45 SQM STUDIO CONCEPT - CITY VIEW,Studio Suite
Accessible Room,1.0,TRIPADVISOR PLUS RATE|PVT  JUNGLE VILLA APT  ACCESS TO POOL 1 KG BED W LUXURY LINENS LLIVING ROOM ROOF TERR,Villa
