description,current_label,cluster,tsne_x,tsne_y
FLEXIBLE RATE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-94.18,-48.54292
2X POINTS PACKAGE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-91.30161,-54.59061
PARK AND STAY AAA|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-97.82118,-50.182392
PARK AND STAY AARP|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-97.815765,-50.79446
PARK AND GO|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-97.82257,-49.922928
BEST AVAILABLE RATE|1 KING MOBILITY/HEARING ACCESS W/TUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,4,-84.33029,-47.701485
STANDARD RATE ADA 1BR KING TUB|ADA ONE BEDROOM KING SUITE W/ ADA BATHTUB,Accessible Room,27,-27.741577,-45.649925
STAY PARK FLY ADA 1BR KING TUB|INCLUDES ONE NIGHT STAY AND 7 NIGHTS,Accessible Room,22,17.158876,42.34317
FLEXIBLE RATE|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-94.34456,-48.4047
2X POINTS PACKAGE|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-91.307655,-54.570576
PARK AND STAY AAA|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-97.819084,-50.210217
PARK AND STAY AARP|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-97.81939,-50.917835
PARK AND GO|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,4,-97.80386,-49.953125
2X POINTS PACKAGE|1 KING MOBILITY/HEARING ACCESS W/TUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,7,-87.40095,-54.6741
DREAM AWAY|1 KING MOBILITY/HEARING ACCESS W/TUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,4,-93.55595,-37.566338
PRE/POST CRUISE ADA 1BR KING T|RATE COVERS DOUBLE OCCUPANCY. TRANSFERS TO,Accessible Room,6,53.592472,-17.78947
