,Room Description,Guest Room Info
183,FLEXIBLE RATE|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
185,2X POINTS PACKAGE|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
237,SEMI-FLEX|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
242,FLEXIBLE RATE|1KING HEARING ACCESSIBLE SUITE NONSMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
250,2X POINTS PACKAGE|1KING HEARING ACCESSIBLE SUITE NONSMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
268,SEMI-FLEX|1KING HEARING ACCESSIBLE SUITE NONSMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
505,FLEXIBLE RATE|1 KING 1BDRM MOBILITY ACCESS W/ TUB NO SMOK WIFI AVL-SLEEPER SOFA-MICROWAVE-REFRIGERATOR,Accessible Room
538,FLEXIBLE RATE|1KING MOBILTY/HEARING ACCESS RI SHWR SUITE NS VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
540,BOOKS FOR KIDS|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
557,2X POINTS PACKAGE|1KING MOBILTY/HEARING ACCESS RI SHWR SUITE NS VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
566,FLEXIBLE RATE|1 KING 1BDRM MOBILITY ACCESS W/ TUB NO SMOK WIFI AVL-SLEEPER SOFA-MICROWAVE-REFRIGERATOR,Accessible Room
616,SEMI-FLEX|1KING MOBILTY/HEARING ACCESS RI SHWR SUITE NS VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
636,FLEXIBLE RATE|1 KING 1BDRM MOBILITY ACCESS W/ TUB NO SMOK WIFI AVL-SLEEPER SOFA-MICROWAVE-REFRIGERATOR,Accessible Room
642,BEST AVAILABLE RATE|MOBILITY ACCESSIBLE GUESTROOM KING WITH SOFABED -TUB,Accessible Room
677,JEAN GEORGES BED AND BREAKFAST|ADA ACCESSIBLE ROOM. KING BED. 450 SQFT. COURTYARD VIEW. COMP WIFI,Accessible Room
678,BEST AVAILABLE RATE|ADA ACCESSIBLE ROOM. KING BED. 450 SQFT. COURTYARD VIEW. COMP WIFI,Accessible Room
693,FLEXIBLE RATE|1 KING 1BDRM MOBILITY ACCESS W/ TUB NO SMOK WIFI AVL-SLEEPER SOFA-MICROWAVE-REFRIGERATOR,Accessible Room
720,BEST AVAILABLE RATE|MOBILITY ACCESSIBLE GUESTROOM KING WITH SOFABED -ROLL-IN SHOWER,Accessible Room
775,PREFERRED SUITES|ADA ACCESSIBLE ROOM. KING BED. 450 SQFT. COURTYARD VIEW. COMP WIFI,Accessible Room
819,FLEXIBLE RATE|1 KING MOBILITY/HEARING ACCESSIBLE RI SHWR VIS FIREALRM/DOOR/PHN ALRT,Accessible Room
826,FLEXIBLE RATE|URBAN 2 DOUBLE HEARING ACCESSIBLE 30USD MAND CHG/VIS FIREALRM/DOOR/PHN ALRT,Accessible Room
827,FLEXIBLE RATE|URBAN 1 KING MOBILITY ACCESS BATHTUB 30USD MAND CHG/VIS FIREALRM/DOOR/PHN ALRT,Accessible Room
841,FLEXIBLE RATE|1 KING MOBILITY/HEARING ACCESSIBLE W/ BATHTUB VIS FIREALRM/DOOR/PHN ALRT,Accessible Room
