Room Description,Actual_Room_Type,Predicted_Room_Type,Confidence,Correct
FLEXIBLE RATE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.873285710811615,True
2X POINTS PACKAGE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.8022396564483643,True
PARK AND STAY AAA|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.7035071849822998,True
PARK AND STAY AARP|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.8635570406913757,True
PARK AND GO|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.6838721632957458,True
BEST AVAILABLE RATE|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,Accessible Room,0.9058613181114197,True
STANDARD RATE ACCESSIBLE 1BR KING TUB|ACCESSIBLE ONE BEDROOM KING SUITE WITH/ ACCESSIBLE BATHTUB,Accessible Room,Accessible Room,0.8052533864974976,True
STAY PARK FLY ACCESSIBLE 1BR KING TUB|INCLUDES ONE NIGHT STAY AND 7 NIGHTS,Accessible Room,Accessible Room,0.8878943920135498,True
FLEXIBLE RATE|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.9046849608421326,True
2X POINTS PACKAGE|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.8406518697738647,True
PARK AND STAY AAA|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.5230640769004822,True
PARK AND STAY AARP|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.8599795699119568,True
PARK AND GO|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,Accessible Room,0.6045710444450378,True
2X POINTS PACKAGE|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,Accessible Room,0.8855459690093994,True
DREAM AWAY|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,Accessible Room,0.9107764363288879,True
PRE/POST CRUISE ACCESSIBLE 1BR KING T|RATE COVERS DOUBLE OCCUPANCY. TRANSFERS TO,Accessible Room,Accessible Room,0.8607258200645447,True
TRIPADVISOR PLUS|ACCESSIBLE ROOM - AC-SITTING AREA-FREE WI-FI-DESK LG ROLL-IN SHOWER - INC CONT BREAKFAST,Accessible Room,Accessible Room,0.9220016598701477,True
FLEXIBLE RATE|2QUEEN ACCESSIBLE BATHTUB STUDIO NONSMOKING FREE BRKFST/WI-FI-KITCHEN WITHMICRO/FRIDGE,Accessible Room,Accessible Room,0.8951375484466553,True
