Unnamed: 0,Room Description,Guest Room Info,Room Description Expanded,LDA_Topic,Top Words,BERTopic_Topic,BERTopic_Top_Words,NMF_Topic,NMF_Topic_Name,TFIDF_LDA_Topic,TFIDF_LDA_Topic_Name
0,FLEXIBLE RATE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,FLEXIBLE RATE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,17,"accessible, plus, hearing, mobility, tripadvisor, shower, door, king, vis",5,"hearing, vis, door, alrt, phn",15,hearing accessible door phn phn alrt firealrm door vis firealrm,13,phone alert door phone alarm door hearing accessible visual alarm
1,2X POINTS PACKAGE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,2X POINTS PACKAGE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,17,"accessible, plus, hearing, mobility, tripadvisor, shower, door, king, vis",-1,Outlier,15,hearing accessible door phn phn alrt firealrm door vis firealrm,13,phone alert door phone alarm door hearing accessible visual alarm
2,PARK AND STAY AAA|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,PARK AND STAY AAA|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,17,"accessible, plus, hearing, mobility, tripadvisor, shower, door, king, vis",5,"hearing, vis, door, alrt, phn",15,hearing accessible door phn phn alrt firealrm door vis firealrm,13,phone alert door phone alarm door hearing accessible visual alarm
3,PARK AND STAY AARP|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,PARK AND STAY AARP|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,17,"accessible, plus, hearing, mobility, tripadvisor, shower, door, king, vis",5,"hearing, vis, door, alrt, phn",15,hearing accessible door phn phn alrt firealrm door vis firealrm,13,phone alert door phone alarm door hearing accessible visual alarm
4,PARK AND GO|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,PARK AND GO|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,17,"accessible, plus, hearing, mobility, tripadvisor, shower, door, king, vis",5,"hearing, vis, door, alrt, phn",15,hearing accessible door phn phn alrt firealrm door vis firealrm,13,phone alert door phone alarm door hearing accessible visual alarm
5,BEST AVAILABLE RATE|1 KING MOBILITY/HEARING ACCESS W/TUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,BEST AVAILABLE RATE|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,17,"accessible, plus, hearing, mobility, tripadvisor, shower, door, king, vis",5,"hearing, vis, door, alrt, phn",15,hearing accessible door phn phn alrt firealrm door vis firealrm,10,door phn firealrm door vis firealrm hearing accessible phn alrt
6,STANDARD RATE ADA 1BR KING TUB|ADA ONE BEDROOM KING SUITE W/ ADA BATHTUB,Accessible Room,STANDARD RATE ACCESSIBLE 1BR KING TUB|ACCESSIBLE ONE BEDROOM KING SUITE WITH/ ACCESSIBLE BATHTUB,17,"accessible, plus, hearing, mobility, tripadvisor, shower, door, king, vis",2,"pool, ft, sq, view, king",22,presidential suite rate presidential bedroom presidential semi flex standard rate,2,single room room single single bed living area area comp
7,STAY PARK FLY ADA 1BR KING TUB|INCLUDES ONE NIGHT STAY AND 7 NIGHTS,Accessible Room,STAY PARK FLY ACCESSIBLE 1BR KING TUB|INCLUDES ONE NIGHT STAY AND 7 NIGHTS,8,"stay, breakfast, room, includes, king, rate, guest, adults, senior",2,"pool, ft, sq, view, king",16,sq ft king bed bed sq suite sq view king,19,stay rate prior stay refundable changes non refundable prepay non
8,FLEXIBLE RATE|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,FLEXIBLE RATE|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,17,"accessible, plus, hearing, mobility, tripadvisor, shower, door, king, vis",5,"hearing, vis, door, alrt, phn",15,hearing accessible door phn phn alrt firealrm door vis firealrm,13,phone alert door phone alarm door hearing accessible visual alarm
9,2X POINTS PACKAGE|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,2X POINTS PACKAGE|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,17,"accessible, plus, hearing, mobility, tripadvisor, shower, door, king, vis",-1,Outlier,15,hearing accessible door phn phn alrt firealrm door vis firealrm,13,phone alert door phone alarm door hearing accessible visual alarm
