description,current_label,cluster,tsne_x,tsne_y
FLEXIBLE RATE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-75.13876,73.58076
2X POINTS PACKAGE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-72.36289,80.94536
PARK AND STAY AAA|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-80.86976,76.05161
PARK AND STAY AARP|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-81.03466,76.450005
PARK AND GO|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-80.80298,75.88123
BEST AVAILABLE RATE|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,20,-69.22678,69.82809
STANDARD RATE ACCESSIBLE 1BR KING TUB|ACCESSIBLE ONE BEDROOM KING SUITE WITH/ ACCESSIBLE BATHTUB,Accessible Room,22,1.6575962,4.4392076
STAY PARK FLY ACCESSIBLE 1BR KING TUB|INCLUDES ONE NIGHT STAY AND 7 NIGHTS,Accessible Room,22,-1.2740543,-19.28896
FLEXIBLE RATE|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-75.23902,73.68042
2X POINTS PACKAGE|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-72.395584,80.920525
PARK AND STAY AAA|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-80.87062,76.05703
PARK AND STAY AARP|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-81.07445,76.533195
PARK AND GO|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-80.79528,75.87482
2X POINTS PACKAGE|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,20,-69.844025,80.57339
DREAM AWAY|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,20,-76.33814,64.8197
PRE/POST CRUISE ACCESSIBLE 1BR KING T|RATE COVERS DOUBLE OCCUPANCY. TRANSFERS TO,Accessible Room,2,50.26135,5.8702936
TRIPADVISOR PLUS|ACCESSIBLE ROOM - AC-SITTING AREA-FREE WI-FI-DESK LG ROLL-IN SHOWER - INC CONT BREAKFAST,Accessible Room,18,-10.880297,96.716805
FLEXIBLE RATE|2QUEEN ACCESSIBLE BATHTUB STUDIO NONSMOKING FREE BRKFST/WI-FI-KITCHEN WITHMICRO/FRIDGE,Accessible Room,29,-82.06243,8.100232
2X POINTS PACKAGE|2QUEEN ACCESSIBLE BATHTUB STUDIO NONSMOKING FREE BRKFST/WI-FI-KITCHEN WITHMICRO/FRIDGE,Accessible Room,14,-89.37885,49.107185
SEMI-FLEX|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-77.954544,74.51999
PARK AND STAY AAA|2QUEEN ACCESSIBLE BATHTUB STUDIO NONSMOKING FREE BRKFST/WI-FI-KITCHEN WITHMICRO/FRIDGE,Accessible Room,29,-80.08691,9.2581415
PARK AND STAY AARP|2QUEEN ACCESSIBLE BATHTUB STUDIO NONSMOKING FREE BRKFST/WI-FI-KITCHEN WITHMICRO/FRIDGE,Accessible Room,29,-79.98841,9.245787
SEMI-FLEX|1KING HEARING ACCESSIBLE STUDIO SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-78.08982,74.533646
PARK AND GO|2QUEEN ACCESSIBLE BATHTUB STUDIO NONSMOKING FREE BRKFST/WI-FI-KITCHEN WITHMICRO/FRIDGE,Accessible Room,29,-80.30836,9.287267
FLEXIBLE RATE|1KING MOBILTY/HEARING ACCESSIBLE RI SHWR SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-75.39438,74.14721
2X POINTS PACKAGE|1KING MOBILTY/HEARING ACCESSIBLE RI SHWR SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-72.33802,80.98617
PARK AND STAY AAA|1KING MOBILTY/HEARING ACCESSIBLE RI SHWR SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-80.89051,76.14342
PARK AND STAY AARP|1KING MOBILTY/HEARING ACCESSIBLE RI SHWR SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-81.09313,76.614716
PARK AND GO|1KING MOBILTY/HEARING ACCESSIBLE RI SHWR SUITE NON SMOKING VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room,20,-80.817245,76.00452
TRIP ADVISOR|2QUEEN BEDS MINI FRIDGE 43 TV 318 SQ FT 5 PPL ACCESSIBLE ROOMS AVAIL UPON REQUEST COMP BOTTLED H20 BREAKFAST IN OUR RESTAURANT,Accessible Room,18,-42.988503,18.053495
STANDARD RATE ACCESSIBLE KING SHR NSB|ACCESSIBLE KING ROOM WITH ACCESSIBLE SHOWER,Accessible Room,22,2.9086018,2.2367902
CANCELLATION POLICY: DAY OF AR|SUPERIOR ACCESSIBLE ROOM KING BED-350 SQFT-LUXURY BATH AMENITIES-FREE WIFI-MAX 2 PPL CANCELLATION POLICY: DAY OF ARRIVAL AT 4 PM EXEMPT FROM FACILITY FEE REVERE CLUB ACCESSIBLE,Accessible Room,12,-15.993985,-83.966484
SEMI-FLEX|2QUEEN ACCESSIBLE BATHTUB STUDIO NONSMOKING FREE BRKFST/WI-FI-KITCHEN WITHMICRO/FRIDGE,Accessible Room,29,-82.0491,9.05648
CANCELLATION POLICY: DAY OF AR|SUPERIOR ACCESSIBLE ROOM 2 QUEEN BED-350 SQFT-LIVING SPACE-ROLL IN SHOWER-FREE WIFI-MAX 4 PPL CANCELLATION POLICY: DAY OF ARRIVAL AT 4 PM EXEMPT FROM FACILITY FEE REVERE CLUB ACCESSIBLE,Accessible Room,12,-15.996847,-83.9622
FLEXIBLE RATE|ACCESSIBLE SKYLINE CATHEDRAL VIEW KING - 360 SF OR 33 SM - ACCESSIBLE COMPLIANT ROOM ON HIGH FLOOR,Accessible Room,4,12.186305,-34.114056
FLEXIBLE RATE|ACCESSIBLE SKYLINE CATHEDRAL VIEW TWO DOUBLE BEDS - 360 SF OR 33 SM - ACCESSIBLE COMPLIANT ROOM,Accessible Room,4,12.269234,-34.41877
WORLD RAINBOW HOTELS BAR|ACCESSIBLE SKYLINE CATHEDRAL VIEW KING - 360 SF OR 33 SM - ACCESSIBLE COMPLIANT ROOM ON HIGH FLOOR,Accessible Room,30,-69.93719,-88.14321
TRIPADVISOR PLUS RATE|MOBILITY ACCESSIBLE TWO QUEEN GULF VIEW ROOM FURNISHED BALCONY 15PCT OFF 20USD CREDIT DAILY WELCOME GIFT,Accessible Room,34,-1.9002551,101.093575
FLEXIBLE RATE|ACCESSIBLE TOWERS ROOM TWO QUEENS - 465 SF OR 43 SM - ACCESSIBLE ROOM ON FLOORS 41 TO 55,Accessible Room,11,11.888711,-32.220673
WORLD RAINBOW HOTELS BAR|ACCESSIBLE SKYLINE CATHEDRAL VIEW TWO DOUBLE BEDS - 360 SF OR 33 SM - ACCESSIBLE COMPLIANT ROOM,Accessible Room,30,-69.95512,-88.17309
TRIP ADVISOR PLUS RATE|ACCESSIBLE DELUXE KING-CITY VIEW-1 KING-374SQFT- WIFI-ROLL IN SHOWER-LUXURY LINENS,Accessible Room,2,-5.813817,80.675705
FLEXIBLE RATE|KING BED URBAN ROOM MOBILITY ACCESSIBLE BATHTUB 30USD MAND CHG/CONTEMP DESIGN/55 IN TV/FRIDGE,Accessible Room,4,-71.5092,4.503999
TRIP ADVISOR PLUS RATE|ACCESSIBLE DELUXE 2 QUEENS-CITY VIEW-2 QUEENS-495SQFT- WIFI-ROLL IN SHOWER-LUXURY LINENS,Accessible Room,30,-5.766921,80.656105
BEST AVAILABLE RATE|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,20,-69.1175,70.29271
FLEXIBLE RATE|URBAN 2 DOUBLE HEARING ACCESSIBLE 30USD MAND CHG/VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,20,-68.90975,71.9774
2X POINTS PACKAGE|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,20,-69.558914,80.09942
"WYNDHAM REWARDS DOUBLE POINTS|1 KING BED ACCESSIBLE ROOM NON SMOKING WITH FREE WIFI, FREE CONTINENTAL BREAKFAST, ACCESSIBLE BATH",Accessible Room,14,-106.35337,50.556446
SEMI-FLEX|1 KING MOBILITY/HEARING ACCESSIBLE WITHTUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,20,-66.89294,74.20475
FLEXIBLE RATE|URBAN 1 KING MOBILITY ACCESSIBLE BATHTUB 30USD MAND CHG/VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,4,-69.14411,75.59222
BEST AVAILABLE RATE|1 KING HEARING ACCESSIBLE STUDIO WITHSOFABED NON SMOKING VIS FIREALRM/DOOR/PHN ALRT/SOFABED,Accessible Room,20,-68.25703,69.79201
2X POINTS PACKAGE|1 KING HEARING ACCESSIBLE STUDIO WITHSOFABED NON SMOKING VIS FIREALRM/DOOR/PHN ALRT/SOFABED,Accessible Room,20,-70.274994,80.39117
SEMI-FLEX|1 KING HEARING ACCESSIBLE STUDIO WITHSOFABED NON SMOKING VIS FIREALRM/DOOR/PHN ALRT/SOFABED,Accessible Room,20,-66.01573,72.70552
WORLD RAINBOW HOTELS BAR|ACCESSIBLE TOWERS ROOM TWO QUEENS - 465 SF OR 43 SM - ACCESSIBLE ROOM ON FLOORS 41 TO 55,Accessible Room,30,-69.395874,-87.570816
