Room Description,Predicted_Room_Type,Confidence,Actual_Room_Type,Correct
DREAM AWAY|1 SOFA PARLOR MOBILITY ACCESS TUB NO SMOK PARLOR-CUSTOM KING SLEEPER SOFA,Penthouse,0.04487073794007301,Accessible Room,False
SAVE 10 PCT OFF ADA 2 QNQN TUB|ADA 2 QUEEN ROOM W/ADA SHOWER/TUB: SOFABED:,Studio Suite,0.048874206840991974,Accessible Room,False
BEST FLEX|EXCECUTIVE KING ACCESSIBLE ROOM ROLL IN SHOWER WIFI VISUAL ALARMS 2ND PEEPHOLE LOWERED STORAGE HI SPEED WIFI KEURIG COFFEE MAKERS IN ROOM 24 HOURS CANCELLATION,Standard Room,0.04053404554724693,Accessible Room,False
TRIPADVISOR PLUS -TRIPADVISOR|2 QUEEN HEARING ACCESSIBLE VIS DOORBELL ALRT AND VIS PHONE ALRT,Presidential Suite,0.045023031532764435,Accessible Room,False
BREAKFAST INCLUDED|1 KING BED HEARING ACCESSIBLE VIS FIREALRM/DOOR/PHN ALRT/,Suite,0.042926691472530365,Accessible Room,False
FLEXIBLE RATE|2 QUEENS MOBILITY/HEARING ACCESS - RI SHOWER VIS FIRE ALARM/DOOR/PHONE ALERT - FRIDGE,King Bedroom,0.04345421865582466,Accessible Room,False
"FOOD AND BEVERAGE|PARK MGM KING - 1 KING BED ACCESSIBLE 406 SQ FT, BEDSIDE OUTLETS, SAFETY BAR",Queen Bedroom,0.058754999190568924,Accessible Room,False
BREAKFAST INCLUDED|1 KING BED HEARING ACCESSIBLE VIS FIREALRM/DOOR/PHN ALRT,Family Room/Suite,0.04257099702954292,Accessible Room,False
ROMANCE PACKAGE|2 QUEEN HEARING ACCESSIBLE SHOWER WITH TUB VIS FIREALRM/DOOR/PHN ALRT,Superior Room,0.04173392802476883,Accessible Room,False
"FLEXIBLE RATE|GRAND ACCESSIBLE TWO QUEEN, 2 QUEEN BEDS 446 SQ FT, NEAR ELEVATOR, SAFETY BARS",Studio Suite,0.04410257562994957,Accessible Room,False
BEST AVAILABLE RATE|300 SQ FT ACCESSIBLE ROOM WITH 1 QUEEN BED,Standard Room,0.056218862533569336,Accessible Room,False
TRIP PLUS 15 DISCOUNT|PARTIAL OCEAN VIEW ROOM WITH 2 QUEEN BEDS ROLL-IN SHOWER AND ADDITIONAL ADA FEATURES ,Junior Suite,0.03939954563975334,Accessible Room,False
BEST AVAILABLE RATE|MOBILITY/HEARING ACCESSIBLE GUESTROOM TWO QUEENS ROLL-IN SHOWER.,Single Room,0.04202784225344658,Accessible Room,False
SONESTA SENIOR 55 AND OLDER|MOBILITY/HEARING ACCESSIBLE GUESTROOM TWO QUEENS ROLL-IN SHOWER.,Loft,0.04493020847439766,Accessible Room,False
AAA / CAA MEMBER RATE|MOBILITY/HEARING ACCESSIBLE GUESTROOM TWO QUEENS ROLL-IN SHOWER.,Queen Bedroom,0.04699075594544411,Accessible Room,False
BED AND BREAKFAST PACKAGE|LAKE-VIEW ROOM ACCESSIBLE KING 32-46 FLOOR LUXURY BED-FULL MARBLE BATHROOM,Queen Bedroom,0.05062241479754448,Accessible Room,False
"SIGNATURE TRAVEL NETWORK .|GRAND ACCESSIBLE KING, 1 KING BED 446 SQ FT, LOWERED PEEPHOLES",King Bedroom,0.04323141276836395,Accessible Room,False
"SIGNATURE TRAVEL NETWORK .|GRAND ACCESSIBLE KING ROLL/IN SHOWER 1 KING BED, 446 SQ FT, ROLL/IN SHOWER",King Bedroom,0.052047356963157654,Accessible Room,False
DREAM AWAY|1 KING MOBILITY/HEARING ACCESS W/ ROLL IN SHW VIS FIREALRM/DOOR/PHN ALRT,King Bedroom,0.044022295624017715,Accessible Room,False
"SENIOR DISCOUNT|1 KING ACCESSIBLE ROOM WITH FREE WIFI, BATHTUB/SHOWER COMBINATION WITH GRAB BARS",Family Room/Suite,0.04662499576807022,Accessible Room,False
"AARP RATE|1 KING ACCESSIBLE ROOM WITH FREE WIFI, BATHTUB/SHOWER COMBINATION WITH GRAB BARS",Standard Room,0.05690615996718407,Accessible Room,False
SUNNIES AMP  SAVINGS: UP TO 20|ACCESSIBLE RESORT VIEW KING 370 SF 1 KING BED PRIVATE BALCONY ISLAND DECOR WIFI FLAT PANEL TV SAVE UP TO 20PCT INCLUDES BREAKFAST FOR 2,Junior Suite,0.048477981239557266,Accessible Room,False
BREAKFAST INCLUDED|1 KING MOBILITY/HEARING ACCESSIBLE RI SHWR VIS FIREALRM/DOOR/PHN ALRT,Family Room/Suite,0.045311566442251205,Accessible Room,False
BEST AVAILABLE RATE|UNIVERSAL ACCESSIBLE ROOM FEATURING 2 THREE-QUARTER BEDS OR A LINKED EXTRA-LARGE KING SIZE BED,Standard Room,0.04890511929988861,Accessible Room,False
2X POINTS PACKAGE|1KG BALCONY MOBILITY/HEARING ACCESS W/RI-SHWR VISUAL FIREALARM/DOOR/PHONE ALERT-FRIDGE,Suite,0.04346412420272827,Accessible Room,False
BREAKFAST INCLUDED|1KNG GRDEN VW MOBILITY/HEARING ACCESS RI SHWR VIS FIREALRM/DOOR/PHN ALRT-COMP BASIC WI-FI,Studio Suite,0.042290735989809036,Accessible Room,False
TRIPADVISOR PLUS RATE|STANDARD VIEW KING BED ACCESSIBLE FLAT SCREEN TELEVISION COFFEE MAKER MINI REFRIGERATOR,Standard Room,0.05988945811986923,Accessible Room,False
FLEXIBLE RATE|1 KING MOBILITY ACCESSIBLE W/BATHTUB FREE BASIC WIFI PREMIUM WIFI 12.95/DAY,Junior Suite,0.042454712092876434,Accessible Room,False
"SENIOR DISCOUNT|2 QUEENS ACCESSIBLE ROOM WITH FREE WIFI, BATHTUB/SHOWER COMBINATION WITH GRAB BARS",Junior Suite,0.04589454457163811,Accessible Room,False
"AARP RATE|2 QUEENS ACCESSIBLE ROOM WITH FREE WIFI, BATHTUB/SHOWER COMBINATION WITH GRAB BARS",Standard Room,0.043733980506658554,Accessible Room,False
STANDARD RATE ADA 2 QNQN TUB|ADA 2 QUEEN ROOM W/ADA SHOWER/TUB: SOFABED:,Suite,0.04329054802656174,Accessible Room,False
"WYNDHAM REWARDS DOUBLE POINTS|1 KING MOBILITY ACCESSIBLE ROOM ROLL-IN SHOWER NSMK WITH WIFI, MINI-FRIDGE HDTV",Junior Suite,0.04187954217195511,Accessible Room,False
"BEST AVAILABLE RATE FLEXIBLE|1 KING MOBILITY ACCESSIBLE ROOM ROLL-IN SHOWER NSMK WITH WIFI, MINI-FRIDGE HDTV",Standard Room,0.053182825446128845,Accessible Room,False
BEST FLEXIBLE RATE|1 KING BD HEAR MOBILITY ACCESS TUB NOSMK ACCESSIBILITY MEETS STYLE IN A ROOM WITH GRAB BARS WIDER DOORWAYS AND VISUAL,Suite,0.04114465042948723,Accessible Room,False
BRKFST FOR 1 GUEST INCLUDES|1 KING BD HEAR MOBILITY ACCESS TUB NOSMK ACCESSIBILITY MEETS STYLE IN A ROOM WITH GRAB BARS WIDER DOORWAYS AND VISUAL,Deluxe Suite,0.04095112532377243,Accessible Room,False
DINE AND UNWIND|1 KING BED HEARING ACCESSIBLE VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,0.036219481378793716,Accessible Room,True
