Room Description,Actual_Room_Type,Predicted_Room_Type,Confidence,Correct
DREAM AWAY|1 SOFA PARLOR MOBILITY ACCESS TUB NO SMOK PARLOR-CUSTOM KING SLEEPER SOFA,Accessible Room,Executive/Club Suite,0.030582847073674202,False
SAVE 10 PCT OFF ADA 2 QNQN TUB|ADA 2 QUEEN ROOM W/ADA SHOWER/TUB: SOFABED:,Accessible Room,Executive/Club Suite,0.03145656734704971,False
BEST FLEX|EXCECUTIVE KING ACCESSIBLE ROOM ROLL IN SHOWER WIFI VISUAL ALARMS 2ND PEEPHOLE LOWERED STORAGE HI SPEED WIFI KEURIG COFFEE MAKERS IN ROOM 24 HOURS CANCELLATION,Accessible Room,Executive/Club Suite,0.030612772330641747,False
TRIPADVISOR PLUS -TRIPADVISOR|2 QUEEN HEARING ACCESSIBLE VIS DOORBELL ALRT AND VIS PHONE ALRT,Accessible Room,Executive/Club Suite,0.030206628143787384,False
BREAKFAST INCLUDED|1 KING BED HEARING ACCESSIBLE VIS FIREALRM/DOOR/PHN ALRT/,Accessible Room,Executive/Club Suite,0.030505988746881485,False
FLEXIBLE RATE|2 QUEENS MOBILITY/HEARING ACCESS - RI SHOWER VIS FIRE ALARM/DOOR/PHONE ALERT - FRIDGE,Accessible Room,Executive/Club Suite,0.031029561534523964,False
"FOOD AND BEVERAGE|PARK MGM KING - 1 KING BED ACCESSIBLE 406 SQ FT, BEDSIDE OUTLETS, SAFETY BAR",Accessible Room,Executive/Club Suite,0.031022371724247932,False
BREAKFAST INCLUDED|1 KING BED HEARING ACCESSIBLE VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,Executive/Club Suite,0.030562695115804672,False
ROMANCE PACKAGE|2 QUEEN HEARING ACCESSIBLE SHOWER WITH TUB VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,Executive/Club Suite,0.030850259587168694,False
"FLEXIBLE RATE|GRAND ACCESSIBLE TWO QUEEN, 2 QUEEN BEDS 446 SQ FT, NEAR ELEVATOR, SAFETY BARS",Accessible Room,Executive/Club Suite,0.031076867133378983,False
BEST AVAILABLE RATE|300 SQ FT ACCESSIBLE ROOM WITH 1 QUEEN BED,Accessible Room,Executive/Club Suite,0.030788760632276535,False
TRIP PLUS 15 DISCOUNT|PARTIAL OCEAN VIEW ROOM WITH 2 QUEEN BEDS ROLL-IN SHOWER AND ADDITIONAL ADA FEATURES ,Accessible Room,Executive/Club Suite,0.030787291005253792,False
BEST AVAILABLE RATE|MOBILITY/HEARING ACCESSIBLE GUESTROOM TWO QUEENS ROLL-IN SHOWER.,Accessible Room,Executive/Club Suite,0.03098004125058651,False
SONESTA SENIOR 55 AND OLDER|MOBILITY/HEARING ACCESSIBLE GUESTROOM TWO QUEENS ROLL-IN SHOWER.,Accessible Room,Executive/Club Suite,0.031097762286663055,False
AAA / CAA MEMBER RATE|MOBILITY/HEARING ACCESSIBLE GUESTROOM TWO QUEENS ROLL-IN SHOWER.,Accessible Room,Executive/Club Suite,0.030325578525662422,False
BED AND BREAKFAST PACKAGE|LAKE-VIEW ROOM ACCESSIBLE KING 32-46 FLOOR LUXURY BED-FULL MARBLE BATHROOM,Accessible Room,Executive/Club Suite,0.031034711748361588,False
"SIGNATURE TRAVEL NETWORK .|GRAND ACCESSIBLE KING, 1 KING BED 446 SQ FT, LOWERED PEEPHOLES",Accessible Room,Executive/Club Suite,0.031016681343317032,False
"SIGNATURE TRAVEL NETWORK .|GRAND ACCESSIBLE KING ROLL/IN SHOWER 1 KING BED, 446 SQ FT, ROLL/IN SHOWER",Accessible Room,Executive/Club Suite,0.03159792721271515,False
DREAM AWAY|1 KING MOBILITY/HEARING ACCESS W/ ROLL IN SHW VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,Executive/Club Suite,0.030795812606811523,False
"SENIOR DISCOUNT|1 KING ACCESSIBLE ROOM WITH FREE WIFI, BATHTUB/SHOWER COMBINATION WITH GRAB BARS",Accessible Room,Executive/Club Suite,0.030608387663960457,False
"AARP RATE|1 KING ACCESSIBLE ROOM WITH FREE WIFI, BATHTUB/SHOWER COMBINATION WITH GRAB BARS",Accessible Room,Executive/Club Suite,0.030746646225452423,False
SUNNIES AMP  SAVINGS: UP TO 20|ACCESSIBLE RESORT VIEW KING 370 SF 1 KING BED PRIVATE BALCONY ISLAND DECOR WIFI FLAT PANEL TV SAVE UP TO 20PCT INCLUDES BREAKFAST FOR 2,Accessible Room,Executive/Club Suite,0.03060717135667801,False
BREAKFAST INCLUDED|1 KING MOBILITY/HEARING ACCESSIBLE RI SHWR VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,Executive/Club Suite,0.0310248713940382,False
BEST AVAILABLE RATE|UNIVERSAL ACCESSIBLE ROOM FEATURING 2 THREE-QUARTER BEDS OR A LINKED EXTRA-LARGE KING SIZE BED,Accessible Room,Executive/Club Suite,0.030300533398985863,False
2X POINTS PACKAGE|1KG BALCONY MOBILITY/HEARING ACCESS W/RI-SHWR VISUAL FIREALARM/DOOR/PHONE ALERT-FRIDGE,Accessible Room,Executive/Club Suite,0.031075146049261093,False
BREAKFAST INCLUDED|1KNG GRDEN VW MOBILITY/HEARING ACCESS RI SHWR VIS FIREALRM/DOOR/PHN ALRT-COMP BASIC WI-FI,Accessible Room,Executive/Club Suite,0.03094719909131527,False
TRIPADVISOR PLUS RATE|STANDARD VIEW KING BED ACCESSIBLE FLAT SCREEN TELEVISION COFFEE MAKER MINI REFRIGERATOR,Accessible Room,Executive/Club Suite,0.030390236526727676,False
FLEXIBLE RATE|1 KING MOBILITY ACCESSIBLE W/BATHTUB FREE BASIC WIFI PREMIUM WIFI 12.95/DAY,Accessible Room,Executive/Club Suite,0.03049084171652794,False
"SENIOR DISCOUNT|2 QUEENS ACCESSIBLE ROOM WITH FREE WIFI, BATHTUB/SHOWER COMBINATION WITH GRAB BARS",Accessible Room,Executive/Club Suite,0.030924059450626373,False
"AARP RATE|2 QUEENS ACCESSIBLE ROOM WITH FREE WIFI, BATHTUB/SHOWER COMBINATION WITH GRAB BARS",Accessible Room,Executive/Club Suite,0.030649803578853607,False
STANDARD RATE ADA 2 QNQN TUB|ADA 2 QUEEN ROOM W/ADA SHOWER/TUB: SOFABED:,Accessible Room,Executive/Club Suite,0.030990710482001305,False
"WYNDHAM REWARDS DOUBLE POINTS|1 KING MOBILITY ACCESSIBLE ROOM ROLL-IN SHOWER NSMK WITH WIFI, MINI-FRIDGE HDTV",Accessible Room,Executive/Club Suite,0.030905816704034805,False
"BEST AVAILABLE RATE FLEXIBLE|1 KING MOBILITY ACCESSIBLE ROOM ROLL-IN SHOWER NSMK WITH WIFI, MINI-FRIDGE HDTV",Accessible Room,Executive/Club Suite,0.031014766544103622,False
BEST FLEXIBLE RATE|1 KING BD HEAR MOBILITY ACCESS TUB NOSMK ACCESSIBILITY MEETS STYLE IN A ROOM WITH GRAB BARS WIDER DOORWAYS AND VISUAL,Accessible Room,Run of the House,0.030389362946152687,False
BRKFST FOR 1 GUEST INCLUDES|1 KING BD HEAR MOBILITY ACCESS TUB NOSMK ACCESSIBILITY MEETS STYLE IN A ROOM WITH GRAB BARS WIDER DOORWAYS AND VISUAL,Accessible Room,Executive/Club Suite,0.030651526525616646,False
DINE AND UNWIND|1 KING BED HEARING ACCESSIBLE VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,Run of the House,0.03020632266998291,False
BEST AVAILABLE RATE|MOBILITY ACCESSIBLE DELUXE QUEEN TUB,Accessible Room,Executive/Club Suite,0.031022341921925545,False
TRIPADVISOR PLUS PROMOTIONAL R|ACCES 2 QN BEDS PORTABLE VISUAL FIRE ALARM 400 SQ FT,Accessible Room,Executive/Club Suite,0.030506834387779236,False
BEST FLEXIBLE RATE|1 KING STANDARD COMM MOBILITY ACCESSIBLE 280 SQFT ROOM WITH TRAN SHWR MICROWAVE AND MINIFRIDGE,Accessible Room,Executive/Club Suite,0.030193330720067024,False
DREAM AWAY|1 KING 1BDRM MOBILITY ACCESS W/ TUB NO SMOK WIFI AVL-SLEEPER SOFA-MICROWAVE-REFRIGERATOR,Accessible Room,Executive/Club Suite,0.030418215319514275,False
"SIGNATURE TRAVEL NETWORK RATE|RESORT ACCESSIBLE ROOM, 1 KING BED 510 SQ FT, MULTIPLE VIEWS, SAFETY BARS",Accessible Room,Executive/Club Suite,0.03093877248466015,False
SEASONAL RATE|SUPERIOR ACCESSIBLE ROOM-1KING- COURTYARD VIEW FULLY ADA COMPLIANT-COMP WIFI-370SQFT 34SQM,Accessible Room,Executive/Club Suite,0.03020983189344406,False
"CWT BUSINESS RATE|1 KING BED/NONSMOKING/ACCESSIBLE/MOBILITYAND HEARING ACCESSIBLE/ACCESSIBLE TUB/VISUAL DOORBELL ALERT/VISUAL FIRE ALARM/VISUAL TELEPHONE ALERT/HOT TUB, IN-ROOM/PILLOW TOP MATTRESS/32 INCH LCD/PLASMA TV/MICROWAVE REFRIGERATOR/TABLE AND CHAIRS/IRON AND IRONING BOARD/TV, CABLE/SATELLITE/SPRINKLER SYS, FIRE/A/C AND HEAT, INDIV./COFFEEMAKER, IN-ROOM/PHONE, LOCAL, FREE/MIRROR, FULL LENGTH/CURVED SHOWER ROD/DOORPEEPHOLES./HAIR DRYER/CLOCK RADIO/AM-FM/TV MOVIES-FREE/FREE HI-SPD WIRELESS/WAKE-UPSERVICE/EMERG LGHTS-GST RMS/VOICE MAIL/DOOR DEAD BOLT/NO PETS ALLOWED",Accessible Room,Executive/Club Suite,0.030620018020272255,False
AAA FLEXIBLE OFFER|ACCESSIBLE SUPERIOR TWO DOUBLE BEDS - 360 SF OR 33 SM - ADA COMPLIANT ROOM,Accessible Room,Executive/Club Suite,0.030846117064356804,False
DINE AND UNWIND|1 KING MOBILITY/HEARING ACCESSIBLE RI SHWR VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,Executive/Club Suite,0.030824851244688034,False
2X POINTS|2 QUEENS MOBILITY/HEARING ACCESS - RI SHOWER VIS FIRE ALARM/DOOR/PHONE ALERT - FRIDGE,Accessible Room,Junior Suite,0.030301811173558235,False
AAA/AARP MEMBER RATE|EXCECUTIVE KING ACCESSIBLE ROOM ROLL IN SHOWER WIFI VISUAL ALARMS 2ND PEEPHOLE LOWERED STORAGE AAA AARP MEMBERSHIP VALID AAA MEMBERSHIP REQUIRED AT CHECK IN,Accessible Room,Executive/Club Suite,0.03032545931637287,False
STANDARD RATE 1 KG ADA TUB DLX|CONTEMPORARY KING BED : MODERN BATHROOM,Accessible Room,Executive/Club Suite,0.030767718330025673,False
"BEST AVAILABLE RATE FLEXIBLE|2 QUEENS ACCESSIBLE ROOM WITH FREE WIFI, ROLL-IN SHOWER, SHOWER GRAB BARS, CLOSED CAPTION TV",Accessible Room,Executive/Club Suite,0.03093155473470688,False
"AAA DISCOUNT|2 QUEENS ACCESSIBLE ROOM WITH FREE WIFI, ROLL-IN SHOWER, SHOWER GRAB BARS, CLOSED CAPTION TV",Accessible Room,Executive/Club Suite,0.031106172129511833,False
STANDARD RATE 1 KNG ADA SHOWER|ADA ROOM WITH ROLL IN SHOWER : 322SF/30SM,Accessible Room,Executive/Club Suite,0.030619047582149506,False
STANDARD RATE 1 Q ADA SHOWER|300 SQ. FT. ADA ROOM: 1 QUEEN BED,Accessible Room,Executive/Club Suite,0.03035159595310688,False
STAY AND SLEEP INN ENJOY A|LATE CHECK OUT OF 1PM GIVING YOU TIME TO TAKE 1 KING STANDARD COMM MOBILITY ACCESSIBLE 280 SQFT ROOM WITH TRAN SHWR MICROWAVE AND MINIFRIDGE,Accessible Room,Executive/Club Suite,0.031323712319135666,False
BOEING PREFERRED -PREFERRED RA|PREMIUM OCEANFRONT 2 QUEEN BEDS HEAR ACC 33USD RSRT CHG-VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,Executive/Club Suite,0.030637886375188828,False
BEST AVAILABLE RATE|MOBILITY/HEARING ACCESSIBLE GUESTROOM KING ROLL-IN SHOWER.,Accessible Room,Executive/Club Suite,0.030819343402981758,False
FLEXIBLE RATE|1 KING MOBILITY ACCESSIBLE W/ BATHTUB NO SMOK SWEET DREAMS EXPERIENCE BED,Accessible Room,Executive/Club Suite,0.031057434156537056,False
2X POINTS PACKAGE|1 KING MOBILITY ACCESSIBLE W/ BATHTUB NO SMOK SWEET DREAMS EXPERIENCE BED,Accessible Room,Executive/Club Suite,0.030862245708703995,False
"FLEXIBLE RATE|GRAND ACCESSIBLE TWO QUEEN ROLL/IN SHOWER 2 QUEEN BEDS, 446 SQ FT, ROLL/IN SHOWER",Accessible Room,Executive/Club Suite,0.0309262964874506,False
STANDARD RATE 2 QN ADA TUB DLX|CONTEMPORARY QUEEN BEDS : MODERN BATHROOM:,Accessible Room,Executive/Club Suite,0.030856141820549965,False
"BEST AVAILABLE RATE FLEXIBLE|1 DOUBLE ACCESSIBLE ROOM NSMK WITH FREE WIFI, PATIO, BATHTUB GRAB BARS, FRIDGE, HDTV",Accessible Room,Executive/Club Suite,0.030537769198417664,False
TRIPADVISOR PLUS -TRIPADVISOR|2 QUEEN MOBILITY ACCESSIBLE WITH TUB.2 QUEEN FREE WI-FI/BREAKFAST INCLUDED/55 IN HDTV,Accessible Room,Executive/Club Suite,0.03031531721353531,False
TRIPADVISOR PLUS -TRIPADVISOR|1 KING HEARING ACCESSIBLE VIS DOORBELL ALRT AND VIS PHONE ALRT,Accessible Room,Executive/Club Suite,0.030811388045549393,False
"ADVANCE PURCHASE|ACCESSIBLE - 1 KING,NSMK,ACCESSIBLE ROLL IN SHOWER,VISUAL ALARMS,FREE WIFI",Accessible Room,Executive/Club Suite,0.03062022104859352,False
CWT PROGRAM -HONORS DREAM AWAY|1 KING MOBILITY/HEARING ACCESS W/TUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,Executive/Club Suite,0.03046322800219059,False
CWT PROGRAM -DREAM AWAY|1 KING MOBILITY/HEARING ACCESS W/TUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room,Executive/Club Suite,0.030704164877533913,False
AAA/AARP MEMBER RATE|DOUBLE QUEEN ACCESSIBLE ROOM ROLL IN SHOWER WIFI VISUAL ALARMS 2ND PEEPHOLE LOWER STORAGE AAA AARP MEMBERSHIP VALID AAA MEMBERSHIP REQUIRED AT CHECK IN,Accessible Room,Executive/Club Suite,0.03066333755850792,False
SENIOR SAVINGS|1KNG GRDEN VW MOBILITY/HEARING ACCESS RI SHWR VIS FIREALRM/DOOR/PHN ALRT-COMP BASIC WI-FI,Accessible Room,Double Bed,0.03018820285797119,False
TRIPADVISOR PLUS -TRIPADVISOR|1 KING MOBILITY ACCESSIBLE WITH TUB FREE WI-FI/BREAKFAST INCLUDED/55 IN HDTV,Accessible Room,Executive/Club Suite,0.030719341710209846,False
SONESTA SENIOR 55 AND OLDER|MOBILITY/HEARING ACCESSIBLE GUESTROOM KING ROLL-IN SHOWER.,Accessible Room,Executive/Club Suite,0.031056344509124756,False
AAA / CAA MEMBER RATE|MOBILITY/HEARING ACCESSIBLE GUESTROOM KING ROLL-IN SHOWER.,Accessible Room,Executive/Club Suite,0.03117487020790577,False
PREFERRED PRIDE|ADA ACCESSIBLE ROOM. KING BED. 450 SQFT. COURTYARD VIEW. COMP WIFI,Accessible Room,Executive/Club Suite,0.03074917010962963,False
THE MARK ACTIVITY SET|ADA ACCESSIBLE ROOM. KING BED. 450 SQFT. COURTYARD VIEW. COMP WIFI,Accessible Room,Executive/Club Suite,0.030969960615038872,False
ROMANCE PACKAGE|1 KING MOBILITY/HEARING ACCESSIBLE RI SHWR VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,Executive/Club Suite,0.03045850247144699,False
PARK AND GO|1 KING MOBILITY/HEARING ACCESS W/ RI SHWR VIS FIREALRM/DOOR/PHN ALRT,Accessible Room,Executive/Club Suite,0.031220732256770134,False
