Actual_Room_Type,Accessible Room,Apartment,Bungalow,Cabana,Classic Room,Classic Suite,Comfort Room,Cottage,Deluxe Room,Deluxe Suite,Double Bed,Executive/Club Room,Executive/Club Suite,Family Room/Suite,Guest Room,Junior Suite,King Bedroom,Loft,Luxury Room,Luxury Suite,Penthouse,Premier Room,Premier Suite,Presidential Suite,Queen Bedroom,Run of the House,Single Room,Standard Room,Studio Room,Studio Suite,Suite,Superior Room,Superior Suite,Twin Room,Villa
Accessible Room,807,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,6,1,3,0,3,2,0,0,5,0,0,3,2,8,3,9,0,0,0
Apartment,1,843,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,7,1,0,0,0,0,0,0,0,0
Bungalow,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabana,0,0,0,876,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Classic Room,0,0,0,0,784,12,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0
Classic Suite,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comfort Room,0,0,0,0,0,0,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cottage,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deluxe Room,3,0,0,0,0,0,0,1,790,19,0,1,0,0,28,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,2,2,0,0
Deluxe Suite,0,0,0,0,0,0,0,0,5,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Bed,0,1,0,0,3,0,0,0,3,0,696,0,0,0,7,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
Executive/Club Room,1,5,0,0,1,0,0,0,4,1,0,783,44,3,4,2,1,0,0,0,1,2,0,1,0,0,2,0,9,6,10,1,0,0,0
Executive/Club Suite,0,0,0,0,0,0,0,0,0,0,0,13,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Family Room/Suite,0,0,0,0,0,0,0,0,1,0,0,0,0,853,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,4,0,0,0
Guest Room,3,0,0,0,1,0,0,0,13,0,2,4,0,0,547,2,1,0,0,0,0,3,0,0,0,0,2,9,0,0,0,7,0,0,0
Junior Suite,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Bedroom,2,0,0,0,0,0,0,0,3,0,0,6,1,14,0,4,748,0,8,0,0,8,0,0,0,5,0,5,0,0,11,6,0,0,0
Loft,1,0,0,0,0,0,0,0,3,0,0,0,0,9,2,0,0,841,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxury Room,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,830,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Luxury Suite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,1,0,0,23,0,0,0,0,0,0,1,0,0,0,0
Penthouse,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,872,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Premier Room,6,0,0,0,0,7,0,0,7,0,0,0,0,0,13,0,2,10,13,0,0,703,5,0,4,0,0,0,0,0,0,0,0,8,0
Premier Suite,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,549,2,0,0,0,0,0,0,1,0,0,0,0
Presidential Suite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,0,0,0,0,0,0,0,0,0,0,0
Queen Bedroom,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,706,0,0,1,0,0,0,0,0,0,0
