cluster_id,text
0,OUR BEST AVAILABLE RATE|BUNGALOW SUITE - 1100 SQ FT - OCEAN VIEW 1K - LIVING ROOM - KITCHEN - ADULT ONLY
0,THE LINKS GOLF PACKAGE|BUNGALOW SUITE - 1100 SQ FT - OCEAN VIEW 1K - LIVING ROOM - KITCHEN - ADULT ONLY
0,SPA REJUVENATION PACKAGE|BUNGALOW SUITE - 1100 SQ FT - OCEAN VIEW 1K - LIVING ROOM - KITCHEN - ADULT ONLY
0,BETTER TOGETHER|BUNGALOW SUITE - 1100 SQ FT - OCEAN VIEW 1K - LIVING ROOM - KITCHEN - ADULT ONLY
0,TRIPADVISOR PLUS|SINGLE STORY BUNGALOW APPROXIMATELY 847 SQ FT 1 KING BED WITH GARDEN VIEW ACCESSIBLE 15 PCNT DISCOUNT ON BEST AVAIL RATES 20 DINING CREDIT
0,OUR BEST AVAILABLE RATE|2 BDRM BUNGALOW HOME - 1550 SQ FT - OCEAN VIEW 1 KING - 2 DOUBLE BEDS - KITCHEN - WASHER-DRYER
0,SPA REJUVENATION PACKAGE|2 BDRM BUNGALOW HOME - 1550 SQ FT - OCEAN VIEW 1 KING - 2 DOUBLE BEDS - KITCHEN - WASHER-DRYER
0,TRIPADVISOR PLUS|SINGLE STORY BUNGALOW SUITE APPROX 1639 SQ FT 2 QUEEN BEDS AND PARLOR AREA WITH GARDEN VIEW 15 PCNT DISCOUNT ON BEST AVAIL RATES 20 DINING CREDIT
0,TRIPADVISOR PLUS|SINGLE STORY BUNGALOW SUITE APPROX 1639 SQ FT 1 KING BED AND PARLOR AREA WITH GARDEN VIEW 15 PCNT DISCOUNT ON BEST AVAIL RATES 20 DINING CREDIT
0,TRIPADVISOR PLUS|SINGLE STORY BUNGALOW APPROXIMATELY 847 SQ FT 2 QUEEN BEDS WITH GARDEN VIEWS 15 PCNT DISCOUNT ON BEST AVAIL RATES 20 DINING CREDIT
0,FLEXIBLE RATE|1 KING BALCONY WITHGARDEN VIEW - BUNGALOW 37USD RSRT CHG-42 INCH LCD TV-IHOME-LUX BED
0,2X POINTS PACKAGE|1 KING BALCONY WITHGARDEN VIEW - BUNGALOW 37USD RSRT CHG-42 INCH LCD TV-IHOME-LUX BED
0,TRIPADVISOR PLUS|SINGLE STORY BUNGALOW APPROXIMATELY 847 SQ FT 1 KING BED WITH GARDEN VIEW 15 PCNT DISCOUNT ON BEST AVAIL RATES 20 DINING CREDIT
0,STANDARD RATE KNOLL KING|420 SQ FT BUNGALOW: KING BED: WALK IN SHOWER:
0,STANDARD RATE STUDIO SUITE KING|485 SQ FT BUNGALOW: KING BED: 65 IN WIFI TV
0,STANDARD RATE SAARINEN ACCESSIBLE K S|485 SQ FT BUNGALOW: KING BED: 65 IN WIFI TV
0,VIRTUOSO STUDIO SUITE KING|485 SQ FT BUNGALOW: KING BED: 65 IN WIFI TV 100 RESORT CREDIT PER STAY.DAILY FULL BREAKFAST FOR 2.WELCOME AMENITY.UPGRADE UPON
0,VIRTUOSO SAARINEN ACCESSIBLE K S|485 SQ FT BUNGALOW: KING BED: 65 IN WIFI TV 100 RESORT CREDIT PER STAY.DAILY FULL BREAKFAST FOR 2.WELCOME AMENITY.UPGRADE UPON
0,BEST FLEXIBLE RATE|RESORT BUNGALOW 1K 415SF-39SM BALCONY SHOWER MINFRIDGE WIFI NOSMKG
0,VIRTUOSO KNOLL KING|420 SQ FT BUNGALOW: KING BED: WALK IN SHOWER: 100 RESORT CREDIT PER STAY.DAILY FULL BREAKFAST FOR 2.WELCOME AMENITY.UPGRADE UPON
0,VIRTUOSO EAMES RTREAT 2 Q|355- SQ FOOT BUNGALOW:2 QUEEN BEDS:WALK IN 100 RESORT CREDIT PER STAY.DAILY FULL BREAKFAST FOR 2.WELCOME AMENITY.UPGRADE UPON
0,STANDARD RATE EAMES RTREAT 2 Q|355- SQ FOOT BUNGALOW:2 QUEEN BEDS:WALK IN
0,VIRTUOSO HARPER SUITE|750SQFT BUNGALOW STUDIO:KING BED:65IN WIFI TV 100 RESORT CREDIT PER STAY.DAILY FULL BREAKFAST FOR 2.WELCOME AMENITY.UPGRADE UPON
0,VIRTUOSO EAMES RETREAT KING|355-SQ. FOOT BUNGALOW:KING BED:WALK IN SHOWER 100 RESORT CREDIT PER STAY.DAILY FULL BREAKFAST FOR 2.WELCOME AMENITY.UPGRADE UPON
0,STANDARD RATE EAMES RETREAT KING|355-SQ. FOOT BUNGALOW:KING BED:WALK IN SHOWER
0,STANDARD RATE|PREFERRED CLUB BUNGALOW SUITE KING OCEAN VIEW 452SQFT. SPACIOUS BATHROOM.BALCONY OR TERRACE
0,STANDARD RATE|BUNGALOW SUITE KING TROPICAL VIEW. 452 SQ FT.SPACIOUS ROOM. PRIVATE BALCONY OR TERRACE.
0,STANDARD RATE HARPER SUITE|750SQFT BUNGALOW STUDIO:KING BED:65IN WIFI TV
0,STANDARD RATE|BUNGALOW SUITE 2 DOUBLES TROPICAL VIEW.452 SQFT. SPACIOUS ROOM. PRIVATE BALCONY OR TERRACE
0,STANDARD RATE|PREFERRED CLUB BUNGALOW SUITE KNG OCEAN FRONT VIEW.452SQFT.SPACIOUS BTHRM.BALCONY OR TERRACE
0,BED AND BRKFST KNOLL KING|420 SQ FT BUNGALOW: KING BED: WALK IN SHOWER:
0,BED AND BRKFST STUDIO SUITE KING|485 SQ FT BUNGALOW: KING BED: 65 IN WIFI TV
0,STANDARD DAILY RATE|BUNGALOW WITH PRIVATE PATIO
0,STANDARD DAILY RATE|PRIVATE BUNGALOW. LOCATED NEXT TO THE POOL.
0,ADV PURCHASE STUDIO SUITE KING|485 SQ FT BUNGALOW: KING BED: 65 IN WIFI TV
0,ADV PURCHASE KNOLL KING|420 SQ FT BUNGALOW: KING BED: WALK IN SHOWER:
0,ADV PURCHASE SAARINEN ACCESSIBLE K S|485 SQ FT BUNGALOW: KING BED: 65 IN WIFI TV
0,BED AND BRKFST SAARINEN ACCESSIBLE K|485 SQ FT BUNGALOW: KING BED: 65 IN WIFI TV
0,BEST AVAILABLE RATE|SINGLE STORY BUNGALOW APPROXIMATELY 847 SQ FT 2 QUEEN BEDS WITH OCEAN VIEW BEST AVAILABLE RATE
0,"REGULAR RATE|FLEXIBLE RATE, BUNGALOW POOLVIEW KING, GUEST ROOM, 1 KING, POOL VIEW, BUNGALOW"
0,BEST AVAILABLE RATE|SINGLE STORY BUNGALOW SUITE APPROX 1639 SQ FT 1 KING BED AND PARLOR AREA WITH OCEAN VIEW BEST AVAILABLE RATE
0,ADV PURCHASE EAMES RTREAT 2 Q|355- SQ FOOT BUNGALOW:2 QUEEN BEDS:WALK IN
0,FLEXIBLE RATE|1 KING BED BALCONY- BUNGALOW 37USD RSRT CHG-42 INCH LCD TV-IHOME-LUX BED
0,BEST AVAILABLE RATE|SINGLE STORY BUNGALOW APPROXIMATELY 847 SQ FT 1 KING BED WITH OCEAN VIEW BEST AVAILABLE RATE
0,ADV PURCHASE EAMES RETREAT KING|355-SQ. FOOT BUNGALOW:KING BED:WALK IN SHOWER
0,BEST AVAILABLE RATE|SINGLE STORY BUNGALOW SUITE APPROX 1639 SQ FT 2 QUEEN BEDS AND PARLOR AREA WITH GARDEN VIEW BEST AVAILABLE RATE
0,ADV PURCHASE HARPER SUITE|750SQFT BUNGALOW STUDIO:KING BED:65IN WIFI TV
0,STANDARD RATE EAMES 2 QUEENS|355 SQ FT BUNGALOW: QUEEN BED:WALK IN SHOWER:
0,STANDARD RATE|PREFERRED CLUB BUNGALOW SUITE 2 DBLS OCEAN VIEW452 SQFT.SPACIOUS BATHROOM.BALCONY OR TERRACE
0,BEST AVAILABLE RATE|SINGLE STORY BUNGALOW SUITE APPROX 1639 SQ FT 1 KING BED AND PARLOR AREA WITH GARDEN VIEW BEST AVAILABLE RATE
0,BEST AVAILABLE RATE|SINGLE STORY BUNGALOW APPROXIMATELY 847 SQ FT 1 KING BED WITH GARDEN VIEW ACCESSIBLE BEST AVAILABLE RATE
0,AARP MEMBER RATE|RESORT BUNGALOW 1K 415SF-39SM BALCONY SHOWER MINFRIDGE WIFI NOSMKG
0,AAA MEMBER RATE|RESORT BUNGALOW 1K 415SF-39SM BALCONY SHOWER MINFRIDGE WIFI NOSMKG
0,VIRTUOSO EAMES 2 QUEENS|355 SQ FT BUNGALOW: QUEEN BED:WALK IN SHOWER: 100 RESORT CREDIT PER STAY.DAILY FULL BREAKFAST FOR 2.WELCOME AMENITY.UPGRADE UPON
0,BED AND BRKFST EAMES RTREAT 2|355- SQ FOOT BUNGALOW:2 QUEEN BEDS:WALK IN
0,BED AND BRKFST EAMES RETREAT K|355-SQ. FOOT BUNGALOW:KING BED:WALK IN SHOWER
0,CWT PROGRAM -HONORS DISCOUNT|1 KING BALCONY WITHGARDEN VIEW - BUNGALOW 37USD RSRT CHG-42 INCH LCD TV-IHOME-LUX BED
0,"REGULAR RATE|FLEXIBLE RATE, BUNGALOW OCEANFRONT KING, GUEST ROOM, 1 KING, OCEANFRONT"
0,"REGULAR RATE|FLEXIBLE RATE, BUNGALOW 1 BEDROOM SUITE, 1 BEDROOM SUITE, 1 KING, BUNGALOW"
0,BEST AVAILABLE RATE|SINGLE STORY BUNGALOW APPROXIMATELY 847 SQ FT 2 QUEEN BEDS WITH GARDEN VIEWS BEST AVAILABLE RATE
0,GENERAL ELECTRIC -PREFERRED RA|1 KING BALCONY WITHGARDEN VIEW - BUNGALOW 37USD RSRT CHG-42 INCH LCD TV-IHOME-LUX BED
